Column1;ProductType;LoadFamily;LoadLevel;ShearFamily;ShearLevel;Height;TopCover;ProductLength;f__ck;MRdPos;MRdNeg;VRdPos;VRdNeg;VRdMax;NRd;HRd;TanALPHA;SpringStiff;LambdaEq;InsThickness;ProductFamily;AnchoLength;minLength;DoubleMoment;DoubleShear;Type;;;;;;;;;;;;;;;;;;
86;TEBEA CM3-V3-CC35-H210;CM;CM3;V;V3;210;35;1000;20;0;-29810000;97932;0;204000;0;0;0.597379194;4990;0.141994197;120;TEBEA;;500;FALSE;FALSE;Slab-to-Slab;;;;;;;;;;;;;;;;;;
87;TEBEA CM3-V3-CC35-H220;CM;CM3;V;V3;220;35;1000;20;0;-32010000;97932;0;216000;0;0;0.551657641;5803;0.137358097;120;TEBEA;;500;FALSE;FALSE;Slab-to-Slab;;;;;;;;;;;;;;;;;;
88;TEBEA CM3-V3-CC35-H230;CM;CM3;V;V3;230;35;1000;20;0;-34210000;97932;0;228000;0;0;0.511592848;6687;0.133125136;120;TEBEA;;500;FALSE;FALSE;Slab-to-Slab;;;;;;;;;;;;;;;;;;
89;TEBEA CM3-V3-CC35-H240;CM;CM3;V;V3;240;35;1000;20;0;-36410000;97932;0;240000;0;0;0.476159421;7647;0.129244922;120;TEBEA;;500;FALSE;FALSE;Slab-to-Slab;;;;;;;;;;;;;;;;;;
90;TEBEA CM3-V3-CC35-H250;CM;CM3;V;V3;250;35;1000;20;0;-38610000;97932;0;252000;0;0;0.444565673;8685;0.125675125;120;TEBEA;;500;FALSE;FALSE;Slab-to-Slab;;;;;;;;;;;;;;;;;;
91;TEBEA CM3-VV1-CC35-H160;CM;CM3;VV;VV1;160;35;1000;20;0;-18260493.68;31338;-31338;144000;0;0;0.950527488;1921;0.160126057;120;TEBEA;;500;FALSE;TRUE;Slab-to-Slab;;;;;;;;;;;;;;;;;;
92;TEBEA CM3-VV1-CC35-H170;CM;CM3;VV;VV1;170;35;1000;20;0;-20534657.89;31338;-31338;156000;0;0;0.851724685;2411;0.153059819;120;TEBEA;;500;FALSE;TRUE;Slab-to-Slab;;;;;;;;;;;;;;;;;;
93;TEBEA CM3-VV1-CC35-H180;CM;CM3;VV;VV1;180;35;1000;20;0;-22848360.38;31338;-31338;168000;0;0;0.771697774;2961;0.146778717;120;TEBEA;;500;FALSE;TRUE;Slab-to-Slab;;;;;;;;;;;;;;;;;;
94;TEBEA CM3-VV1-CC35-H190;CM;CM3;VV;VV1;190;35;1000;20;0;-25204600.26;31338;-31338;180000;0;0;0.705569899;3572;0.141158785;120;TEBEA;;500;FALSE;TRUE;Slab-to-Slab;;;;;;;;;;;;;;;;;;
95;TEBEA CM3-VV1-CC35-H200;CM;CM3;VV;VV1;200;35;1000;20;0;-27606376.64;31338;-31338;192000;0;0;0.650018582;4247;0.136100846;120;TEBEA;;500;FALSE;TRUE;Slab-to-Slab;;;;;;;;;;;;;;;;;;
